f0,f1,top_type,opt_action,opt_serves,q_serve_0,q_serve_1,delta,past_dl_0,past_dl_1
0,0,0,1,0,118.737634,167.451657,48.714023,0,0
0,1,1,0,0,137.145065,183.489858,46.344792,0,0
0,2,1,0,0,159.070650,201.721916,42.651266,0,0
0,3,1,0,0,185.538024,222.410207,36.872183,0,0
0,4,1,0,0,217.442672,245.820430,28.377757,0,0
0,5,1,0,0,255.872376,272.264264,16.391888,0,0
0,6,1,0,0,302.146571,302.042881,-0.103689,0,0
0,7,1,1,1,357.864022,335.501672,-22.362351,0,0
0,8,1,1,1,424.960530,373.232933,-51.727597,0,0
0,9,1,1,1,505.778749,415.903055,-89.875694,0,0
0,10,1,1,1,603.152643,464.314231,-138.838412,0,1
0,11,1,1,1,620.509606,511.699254,-108.810352,0,1
0,12,1,1,1,638.798672,558.006780,-80.791892,0,1
0,13,1,1,1,657.905016,603.223492,-54.681524,0,1
0,14,1,1,1,677.728776,647.342911,-30.385864,0,1
0,15,1,1,1,698.183090,690.321292,-7.861798,0,1
1,0,0,1,0,127.364696,181.792370,54.427673,0,0
1,1,0,1,0,145.865226,198.160960,52.295735,0,0
1,2,1,0,0,168.286494,216.761320,48.474826,0,0
1,3,1,0,0,194.913459,237.849338,42.935879,0,0
1,4,1,0,0,226.989920,261.713783,34.723863,0,0
1,5,1,0,0,265.602178,288.639149,23.036971,0,0
1,6,1,0,0,312.068371,318.956667,6.888296,0,0
1,7,1,1,1,367.986125,352.972704,-15.013421,0,0
1,8,1,1,1,435.290240,391.214155,-44.076085,0,0
1,9,1,1,1,516.322491,434.384416,-81.938074,0,0
1,10,1,1,1,613.916065,483.247842,-130.668224,0,1
1,11,1,1,1,631.497673,531.032747,-100.464926,0,1
1,12,1,1,1,650.015744,577.733080,-72.282664,0,1
1,13,1,1,1,669.354918,623.290761,-46.064157,0,1
1,14,1,1,1,689.414857,667.692994,-21.721863,0,1
1,15,1,0,0,710.108279,710.934044,0.825765,0,1
2,0,0,1,0,136.617708,197.760593,61.142885,0,0
2,1,0,1,0,155.290121,214.467095,59.176973,0,0
2,2,0,1,0,177.831641,233.421613,55.589971,0,0
2,3,1,0,0,204.984057,254.905182,49.921125,0,0
2,4,1,0,0,237.247932,279.202151,41.954219,0,0
2,5,1,0,0,276.058067,306.625623,30.567556,0,0
2,6,1,0,0,322.731283,337.473443,14.742161,0,0
2,7,1,1,1,378.864049,372.089179,-6.774870,0,0
2,8,1,1,1,446.390150,410.885767,-35.504383,0,0
2,9,1,1,1,527.650468,454.554357,-73.096111,0,0
2,10,1,1,1,625.477405,503.905010,-121.572396,0,1
2,11,1,1,1,643.296978,552.119766,-91.177212,0,1
2,12,1,1,1,662.057005,599.187450,-62.869555,0,1
2,13,1,1,1,681.641584,645.105798,-36.535786,0,1
2,14,1,1,1,701.949898,689.807161,-12.142737,0,1
2,15,1,0,0,722.894237,733.278396,10.384158,0,1
3,0,0,1,0,146.575651,215.589465,69.013814,0,0
3,1,0,1,0,165.511013,232.651812,67.140799,0,0
3,2,0,1,0,188.193556,251.958699,63.765144,0,0
3,3,0,1,0,215.495940,273.816611,58.320671,0,0
3,4,1,0,0,248.312905,298.533880,50.220975,0,0
3,5,1,0,0,287.336209,326.421721,39.085512,0,0
3,6,1,0,0,334.231342,357.813413,23.582071,0,0
3,7,1,0,0,390.593604,393.011483,2.417880,0,0
3,8,1,1,1,458.355752,432.400937,-25.954815,0,0
3,9,1,1,1,539.857769,476.609122,-63.248647,0,0
3,10,1,1,1,637.931262,526.431456,-111.499805,0,1
3,11,1,1,1,656.001550,575.106361,-80.895189,0,1
3,12,1,1,1,675.015837,622.566007,-52.449830,0,1
3,13,1,1,1,694.857676,668.802236,-26.055441,0,1
3,14,1,0,0,715.425770,713.816127,-1.609644,0,1
3,15,1,0,0,736.631983,757.527273,20.895289,0,1
4,0,0,1,0,157.283719,235.548448,78.264729,0,0
4,1,0,1,0,176.621081,252.980679,76.359598,0,0
4,2,0,1,0,199.474079,272.653008,73.178929,0,0
4,3,0,1,0,226.946568,294.870955,67.924387,0,0
4,4,0,1,0,259.940380,319.977674,60.037294,0,0
4,5,1,0,0,299.541650,348.306914,48.765265,0,0
4,6,1,0,0,346.673002,380.193177,33.520175,0,0
4,7,1,0,0,403.278557,415.982825,12.704268,0,0
4,8,1,1,1,471.290041,455.969989,-15.320052,0,0
4,9,1,1,1,553.046527,500.745851,-52.300676,0,0
4,10,1,1,1,651.378829,551.073138,-100.305691,0,1
4,11,1,1,1,669.711565,600.172680,-69.538885,0,1
4,12,1,1,1,688.991325,648.046102,-40.945222,0,1
4,13,1,1,1,709.101119,694.615801,-14.485318,0,1
4,14,1,0,0,729.939172,739.876034,9.936862,0,1
4,15,1,0,0,751.416926,783.836917,32.419991,0,1
5,0,0,1,0,168.805094,257.952684,89.147590,0,0
5,1,0,1,0,188.665288,275.760530,87.095242,0,0
5,2,0,1,0,211.787270,295.805532,84.018262,0,0
5,3,0,1,0,239.448848,318.389791,78.940943,0,0
5,4,0,1,0,272.638092,343.855503,71.217411,0,0
5,5,0,1,0,312.439436,372.582781,60.143345,0,0
5,6,1,0,0,360.170058,404.926850,44.756791,0,0
5,7,1,0,0,417.031379,441.239118,24.207740,0,0
5,8,1,1,1,485.304083,481.867900,-3.436182,0,0
5,9,1,1,1,567.326336,527.196971,-40.129365,0,0
5,10,1,1,1,665.928155,578.044528,-87.883627,0,1
5,11,1,1,1,684.533464,627.591430,-56.942034,0,1
5,12,1,1,1,704.088237,675.818079,-28.270159,0,1
5,13,1,0,0,724.474952,722.732340,-1.742611,0,1
5,14,1,0,0,745.591360,768.243267,22.651907,0,1
5,15,1,0,0,767.348488,812.456648,45.108160,0,1
6,0,0,1,0,181.173422,283.170851,101.997429,0,0
6,1,0,1,0,201.711200,301.349219,99.638019,0,0
6,2,0,1,0,225.261629,321.763266,96.501638,0,0
6,3,0,1,0,253.129120,344.711742,91.582623,0,0
6,4,0,1,0,286.530141,370.533612,84.003471,0,0
6,5,0,1,0,326.547447,399.607928,73.060482,0,0
6,6,0,1,0,374.496698,432.350495,57.853796,0,0
6,7,1,0,0,431.974030,469.131195,37.157165,0,0
6,8,1,0,0,500.517572,510.308083,9.790512,0,0
6,9,1,1,1,582.814579,556.225217,-26.589362,0,0
6,10,1,1,1,681.694274,607.557363,-74.136911,0,1
6,11,1,1,1,700.579887,657.553777,-43.026110,0,1
6,12,1,1,1,720.416790,706.145905,-14.270885,0,1
6,13,1,0,0,741.086929,753.315935,12.229006,0,1
6,14,1,0,0,762.487596,799.082798,36.595202,0,1
6,15,1,0,0,784.529413,843.551855,59.022441,0,1
7,0,0,1,0,194.474198,311.634038,117.159840,0,0
7,1,0,1,0,215.790328,330.165088,114.374760,0,0
7,2,0,1,0,239.969302,350.929517,110.960215,0,0
7,3,0,1,0,268.129358,374.224709,106.095351,0,0
7,4,0,1,0,301.754769,400.387832,98.633063,0,0
7,5,0,1,0,342.000195,429.794042,87.793847,0,0
7,6,0,1,0,390.179798,462.857922,72.678124,0,0
7,7,0,1,0,447.888356,500.027429,52.139073,0,0
7,8,1,0,0,517.058857,541.676290,24.617433,0,0
7,9,1,1,1,599.636128,588.153642,-11.482486,0,0
7,10,1,1,1,698.798599,639.985474,-58.813125,0,1
7,11,1,1,1,717.968808,690.361937,-27.606871,0,1
7,12,1,0,0,738.091528,739.298664,1.207135,0,1
7,13,1,0,0,759.048186,786.717737,27.669551,0,1
7,14,1,0,0,780.735620,832.732287,51.996667,0,1
7,15,1,0,0,803.064061,877.447357,74.383296,0,1
8,0,0,1,0,208.926733,343.848668,134.921934,0,0
8,1,0,1,0,230.998385,362.694275,131.695890,0,0
8,2,0,1,0,255.938206,383.773250,127.835045,0,0
8,3,0,1,0,284.610296,407.378189,122.767893,0,0
8,4,0,1,0,318.466801,433.847250,115.380449,0,0
8,5,0,1,0,358.946745,463.554139,104.607394,0,0
8,6,0,1,0,407.362789,496.908677,89.545888,0,0
8,7,0,1,0,465.308363,534.357360,69.048997,0,0
8,8,0,1,0,534.715233,576.373528,41.658295,0,0
8,9,1,0,0,617.923208,623.318495,5.395286,0,0
8,10,1,1,1,717.368399,675.592390,-41.776009,0,1
8,11,1,1,1,736.822650,726.345973,-10.476677,0,1
8,12,1,0,0,757.230132,775.522455,18.292322,0,1
8,13,1,0,0,778.471755,823.178676,44.706921,0,1
8,14,1,0,0,800.443910,869.427533,68.983623,0,1
8,15,1,0,0,823.056444,914.373874,91.317430,0,1
9,0,0,1,0,224.793217,380.410375,155.617157,0,0
9,1,0,1,0,247.596098,399.505314,151.909216,0,0
9,2,0,1,0,273.275579,420.834907,147.559328,0,0
9,3,0,1,0,302.634170,444.690059,142.055889,0,0
9,4,0,1,0,336.840581,471.403434,134.562853,0,0
9,5,0,1,0,377.552661,501.352721,123.800060,0,0
9,6,0,1,0,426.202815,534.945937,108.743122,0,0
9,7,0,1,0,484.383099,572.623685,88.240586,0,0
9,8,0,1,0,554.024044,614.857481,60.833436,0,0
9,9,0,1,0,637.464342,662.134756,24.670414,0,0
9,10,1,1,1,737.535175,714.780816,-22.754359,0,1
9,11,1,0,0,757.266157,765.813311,8.547154,0,1
9,12,1,0,0,777.950840,815.201204,37.250364,0,1
9,13,1,0,0,799.469600,863.065766,63.596166,0,1
9,14,1,0,0,821.718376,909.519716,87.801339,0,1
9,15,1,0,0,844.606626,954.667761,110.061135,0,1
10,0,0,1,0,242.388004,422.030391,179.642387,1,0
10,1,0,1,0,265.896753,441.264758,175.368005,1,0
10,2,0,1,0,292.292001,462.742524,170.450523,1,0
10,3,0,1,0,322.321054,486.750270,164.429216,1,0
10,4,0,1,0,357.056034,513.617131,156.561097,1,0
10,5,0,1,0,398.002687,543.716050,145.713363,1,0
10,6,0,1,0,446.872147,577.461026,130.588879,1,0
10,7,0,1,0,505.273028,615.290321,110.017293,1,0
10,8,0,1,0,575.134561,657.668071,82.533510,1,0
10,9,0,1,0,658.794267,705.079349,46.285081,1,0
10,10,0,0,1,759.082272,758.008180,-1.074092,1,1
10,11,1,0,0,779.423310,809.201929,29.778619,1,1
10,12,1,0,0,800.368752,858.749646,58.380894,1,1
10,13,1,0,0,822.148397,906.772301,84.623903,1,1
10,14,1,0,0,844.657690,953.382362,108.724672,1,1
10,15,1,0,0,867.805670,998.684339,130.878669,1,1
11,0,0,1,0,259.524704,436.239022,176.714317,1,0
11,1,0,1,0,283.713215,455.432361,171.719146,1,0
11,2,0,1,0,310.798246,476.895960,166.097714,1,0
11,3,0,1,0,341.477335,500.905532,159.428197,1,0
11,4,0,1,0,376.735422,527.784759,151.049337,1,0
11,5,0,1,0,417.940511,557.901488,139.960978,1,0
11,6,0,1,0,466.996006,591.666326,124.670321,1,0
11,7,0,1,0,525.586122,629.524828,103.938705,1,0
11,8,0,1,0,595.638633,671.937983,76.299350,1,0
11,9,0,1,0,679.489754,719.381513,39.891759,1,0
11,10,0,0,1,779.968433,772.336287,-7.632145,1,1
11,11,0,1,0,800.498338,823.594737,23.096399,1,1
11,12,1,0,0,822.025952,873.224432,51.198479,1,1
11,13,1,0,0,844.038887,921.331177,77.292290,1,1
11,14,1,0,0,866.781997,968.026937,101.244941,1,1
11,15,1,0,0,890.163817,1013.415786,123.251969,1,1
12,0,0,1,0,276.260379,450.244022,173.983643,1,0
12,1,0,1,0,301.102069,469.401681,168.299612,1,0
12,2,0,1,0,328.849330,490.850861,162.001532,1,0
12,3,0,1,0,360.154537,514.867571,154.713034,1,0
12,4,0,1,0,395.923641,541.763255,145.839614,1,0
12,5,0,1,0,437.399627,571.900867,134.501240,1,0
12,6,0,1,0,486.611448,605.687598,119.076150,1,0
12,7,0,1,0,545.362704,643.566285,98.203581,1,0
12,8,0,1,0,615.579579,686.007537,70.427958,1,0
12,9,0,1,0,699.596875,733.483741,33.886867,1,0
12,10,0,0,1,800.242273,786.464718,-13.777555,1,1
12,11,0,1,0,820.938295,837.798285,16.859989,1,1
12,12,0,1,0,842.630382,887.489013,44.858631,1,1
12,13,1,0,0,865.201274,935.673084,70.471810,1,1
12,14,1,0,0,888.153659,982.447440,94.293781,1,1
12,15,1,0,0,911.745490,1027.915770,116.170280,1,1
13,0,0,1,0,292.644406,464.060319,171.415913,1,0
13,1,0,1,0,318.112433,483.189446,165.077013,1,0
13,2,0,1,0,346.493235,504.626336,158.133101,1,0
13,3,0,1,0,378.397919,528.646083,150.248164,1,0
13,4,0,1,0,414.660561,555.561616,140.901055,1,0
13,5,0,1,0,456.410399,585.722525,129.312126,1,0
13,6,0,1,0,505.752045,619.532652,113.780607,1,0
13,7,0,1,0,564.639285,657.432404,92.793119,1,0
13,8,0,1,0,634.996618,699.889575,64.892957,1,0
13,9,0,1,0,719.157346,747.388885,28.231539,1,0
13,10,0,0,1,819.947810,800.396456,-19.551354,1,1
13,11,0,1,0,840.789329,851.801992,11.012663,1,1
13,12,0,1,0,862.626251,901.564152,38.937901,1,1
13,13,0,1,0,885.340320,949.804704,64.464385,1,1
13,14,1,0,0,908.829385,996.651087,87.821702,1,1
13,15,1,0,0,932.609273,1042.192077,109.582804,1,1
14,0,0,1,0,308.719443,477.700948,168.981504,1,0
14,1,0,1,0,334.786889,496.807736,162.020847,1,0
14,2,0,1,0,363.771772,518.237104,154.465333,1,0
14,3,0,1,0,396.247216,542.259115,146.011899,1,0
14,4,0,1,0,432.981600,569.186660,136.205060,1,0
14,5,0,1,0,475.000386,599.372805,124.372419,1,0
14,6,0,1,0,524.448237,633.207432,108.759195,1,0
14,7,0,1,0,583.448959,671.128817,87.679858,1,0
14,8,0,1,0,653.925286,713.602211,59.676925,1,0
14,9,0,1,0,738.208959,761.109261,22.900302,1,0
14,10,0,0,1,839.124924,814.131651,-24.993273,1,1
14,11,0,1,0,860.093252,865.606653,5.513400,1,1
14,12,0,1,0,882.057164,915.437239,33.380074,1,1
